timestamp,open,high,low,close,volume,RSI,FVG,VolumeDelta,Bias,PriceChange,FVGWidth,IsBreakout,OrderBookPressure,Label
2024-08-03 19:20:00,0.99916,0.99916,0.99915,0.99916,430229.6,0.4412,0.3998,0.7824,0.6677,0.9007,0.1047,0,0.4077,0
2024-08-03 19:25:00,0.99915,0.99922,0.99915,0.99921,1518552.08,0.7329,0.939,0.04,0.5755,0.5334,0.6854,0,0.2972,1
2024-08-03 19:30:00,0.99921,0.99922,0.99914,0.99919,1640505.48,0.5329,0.7542,0.325,0.3236,0.5417,0.8455,0,0.4291,0
2024-08-03 19:35:00,0.99919,0.99919,0.99918,0.99919,160020.63,0.8615,0.5112,0.2257,0.6077,0.2346,0.5918,0,0.6381,1
2024-08-03 19:40:00,0.99919,0.99919,0.99918,0.99919,95281.03,0.2021,0.0472,0.0746,0.2716,0.6408,0.3087,1,0.8175,1
2024-08-03 19:45:00,0.99919,0.99919,0.99918,0.99918,251281.44,0.574,0.1283,0.0792,0.6533,0.5521,0.5866,0,0.7652,0
2024-08-03 19:50:00,0.99919,0.99922,0.99918,0.99922,735664.62,0.9326,0.6763,0.7089,0.5615,0.7391,0.7476,1,0.9741,0
2024-08-03 19:55:00,0.99922,0.9993,0.99922,0.9993,520640.62,0.2338,0.1234,0.8047,0.2162,0.0768,0.2519,0,0.1957,0
2024-08-03 20:00:00,0.99929,0.99933,0.99929,0.99931,266801.41,0.8398,0.8675,0.683,0.7629,0.9427,0.6412,0,0.7194,1
2024-08-03 20:05:00,0.99932,0.99933,0.99931,0.99933,366615.95,0.8251,0.3906,0.3161,0.1581,0.52,0.2426,0,0.1831,0
2024-08-03 20:10:00,0.99933,0.99933,0.99923,0.9993,1309165.48,0.0555,0.0723,0.4912,0.7299,0.3538,0.8988,0,0.8814,1
2024-08-03 20:15:00,0.9993,0.99931,0.99929,0.9993,196781.48,0.6339,0.0308,0.466,0.6952,0.3971,0.0331,1,0.65,0
2024-08-03 20:20:00,0.99931,0.99933,0.9993,0.99933,688197.89,0.422,0.3157,0.6752,0.1891,0.9088,0.187,1,0.7356,0
2024-08-03 20:25:00,0.99932,0.99933,0.99932,0.99933,185886.21,0.4561,0.9776,0.5635,0.8642,0.2471,0.3117,0,0.151,1
2024-08-03 20:30:00,0.99932,0.99933,0.99932,0.99933,158139.71,0.6674,0.1725,0.4304,0.493,0.4646,0.768,1,0.0678,0
2024-08-03 20:35:00,0.99933,0.99933,0.99932,0.99932,191870.3,0.9816,0.6894,0.7844,0.3073,0.0185,0.9702,1,0.0993,0
2024-08-03 20:40:00,0.99933,0.99933,0.99932,0.99933,356855.28,0.3131,0.9761,0.3803,0.923,0.9568,0.5019,1,0.0493,0
